id_procedimiento,nombre_procedimiento,id_tipo_procedimiento,nombre_tipo_procedimiento,id_categoria_procedimiento,nombre_categoria_procedimiento,nivel_complejidad
1,Electrocardiograma,4,Terapia,1,Cardiología,Media
2,Hemograma,4,Terapia,6,Neurología,Media
3,Radiografía,3,Cirugía,6,Neurología,Baja
4,Resonancia magnética,2,Estudio,6,Neurología,Alta
5,Cirugía menor,3,Cirugía,5,Ginecología,Alta
6,Cirugía mayor,3,Cirugía,1,Cardiología,Baja
7,Ecografía obstétrica,3,Cirugía,5,Ginecología,Alta
8,Terapia respiratoria,2,Estudio,4,Traumatología,Alta
9,Implante dental,5,Intervención,3,Diagnóstico,Alta
10,Biopsia,4,Terapia,1,Cardiología,Media
11,Colocación de yeso,5,Intervención,5,Ginecología,Alta
12,Endoscopía,3,Cirugía,1,Cardiología,Media
13,Papanicolau,5,Intervención,5,Ginecología,Media
14,Consulta pediátrica,2,Estudio,5,Ginecología,Baja
15,Consulta ginecológica,3,Cirugía,2,Laboratorio,Alta
16,Consulta traumatológica,4,Terapia,3,Diagnóstico,Media
17,Consulta neurológica,4,Terapia,8,Odontología,Media
18,Análisis de glucosa,3,Cirugía,5,Ginecología,Alta
19,Tomografía axial computada,4,Terapia,1,Cardiología,Alta
20,Consulta odontológica,1,Consulta,7,Oncología,Baja
21,Extracción de muela,1,Consulta,1,Cardiología,Alta
22,Consulta cardiológica,4,Terapia,4,Traumatología,Baja
23,Tratamiento oncológico,2,Estudio,5,Ginecología,Media
24,Consulta dermatológica,5,Intervención,1,Cardiología,Baja
25,Consulta de laboratorio,4,Terapia,5,Ginecología,Media
26,Ecografía abdominal,3,Cirugía,5,Ginecología,Media
27,Estudio de sangre,4,Terapia,4,Traumatología,Baja
28,Consulta de control,5,Intervención,7,Oncología,Baja
29,Consulta de guardia,1,Consulta,4,Traumatología,Alta
30,Consulta médica,2,Estudio,6,Neurología,Alta
